<<<<<<< HEAD
Rank,School System,State,Enrollment,Elementary_secondary Expenditure Total,Selected Objects Salaries,Selected Objects Employee Benfits,Instruction Salaries,Instruction Employee Benefits,Support Services Pupil Support,Support Services Instructive Staff Support,Support Services General Administration,Support Services School Administration,Support Services Other and Nonspecified,Other Current Spending,Capital Outlay,Inter-governmental,Interest On Debt,grad_rate
95,Oakland Unified,California,49760,768186,318472,159924,178314,90646,20588,63011,7477,45394,98610,36783,64943,2836,105740,87.3
96,San Juan Unified,California,49255,593791,292931,149447,184565,92051,25034,45769,3865,41092,76918,19501,55739,1012,18843,93.3
97,Manatee County,Florida,48884,501728,229517,68566,138286,41081,18109,22981,3536,24506,72345,41324,45294,0,11787,88.5
98,Jefferson Parish,Louisiana,48668,581947,272093,141445,180233,89424,38475,18999,25025,36780,95471,28840,28846,8283,6598,84.7
99,Charleston County,South Carolina,48551,740695,286411,103495,183575,66726,36734,37677,3714,37332,107884,36677,124684,4209,35505,90.2
=======
Rank,School System,State,Enrollment,Total Revenue,Federal Total,Federal Titile I,Federal Special Education,Federal Child Nutrition,Federal Other and Nonspecified,State Total,State General Formula Assistance,State Special Education,State Transportation,State Other and Nonspecified,Local Total,Local Total Taxes,Local Property Taxes,Local Parent Government Contribution,Local From Cities and Counties,Local From Other School Systems,grad_rate
0,New York City,New York,984462,29855533,2061297,956851,0.2534653445232015,0.44614114104962915,415710,11072732,7510143,2.2443964317566345,0.0,1353066,16721504,0,0.0,15561558,0,0,87.0
1,Los Angeles Unified,California,633621,10578715,1146298,376182,0.2451670635916423,0.6166320245067635,224062,6646350,5082293,0.5776181660645717,0.0,1198066,2786067,2137493,3.373456687830738,0,119183,90103,77.7
2,Chicago,Illinois,378199,5840203,783943,290912,0.24615612415685922,0.530189133234091,199418,2008059,1653504,0.0,0.0,354555,3048201,2714956,7.1786440471815105,0,73219,0,85.8
3,Miami-Dade County,Florida,357249,3679802,451479,139461,0.21846947087325647,0.38655951451228693,95872,1100104,369587,0.20874516093816917,0.019216288918933292,649078,2128219,1931294,5.406016531886723,0,0,422,80.6
4,Clark County,Nevada,326953,3359206,309987,97919,0.1335360128214147,0.34756371710918693,54771,2089442,635176,0.3513807795004175,0.0,1339381,959777,904177,2.7551085324190328,0,1085,500,84.9
5,Broward County,Florida,271852,2710577,295473,67179,0.21185792269323014,0.31520827509085825,85010,1052300,453471,0.41682974559686886,0.0570935656165855,469992,1362804,1172362,4.312500919618027,0,0,616,88.3
6,Houston,Texas,216106,2467450,298648,91977,0.17539078045033457,0.5257558790593505,55149,198858,125638,0.0,0.0,73220,1969944,1872214,8.663405921168316,0,31631,0,82.4
7,Hillsborough County,Florida,214386,2121511,302331,68690,0.21044284608136726,0.40138348586194994,102474,1071868,506790,0.6333669176158891,0.10141986883471868,407550,747312,609578,2.699821816723107,0,0,0,87.8
8,Orange County,Florida,200674,2331075,223697,63326,0.204346352791094,0.4251223377218773,34053,805357,344208,0.3611828139170994,0.07645733876835066,373326,1302021,1135789,4.494433758234749,0,0,782,87.7
9,Palm Beach County,Florida,192721,2188847,199694,51170,0.2107813886395359,0.36112307428873863,38306,535749,170098,0.23984412700224678,0.03716771913802855,312265,1453404,1277645,6.303853757504371,0,0,245,87.9
10,Fairfax County,Virginia,187467,2855683,126916,21035,0.1921191463030827,0.1967599630868366,32979,626758,469348,0.25619442355187844,0.0,109382,2102009,0,0.0,1961196,0,45944,91.7
11,Hawaii Public Schools,Hawaii,181550,2844167,252145,50391,0.22737537868355825,0.30212062792619115,105624,2534177,1252872,2.8265216193885982,0.3418342054530432,706090,57845,0,0.0,0,0,0,91.6
12,Gwinnett County,Georgia,178214,1972752,145818,42114,0.1632363338458258,0.37225470501756314,8272,946654,604789,0.7442737383146105,0.029969587125590582,203884,880280,747236,3.2827667859988554,0,36602,861,87.5
13,Wake County,North Carolina,160467,1440668,106392,26537,0.18863691600142085,0.1931549789053201,18590,880794,879943,0.0,0.0,851,453482,0,0.0,409911,0,0,92.3
14,Montgomery County,Maryland,159010,3089537,116366,24555,0.1784604741840136,0.24253191623168355,24869,862176,361504,0.3470159109489969,0.2574177724671404,404561,2110995,0,0.0,2081378,0,0,91.2
15,Dallas,Texas,157886,1915292,282730,74407,0.17195951509316848,0.6705851057091826,75297,339046,270613,0.0,0.0,68433,1293516,1241293,7.861957361640678,0,0,0,78.0
16,Charlotte/Mecklenburg,North Carolina,147428,1443941,149059,45712,0.2193952302140706,0.34545676533629976,20072,808325,794082,0.0,0.0,14243,486557,0,0.0,427955,0,0,89.6
17,Philadelphia,Pennsylvania,133929,3217491,321363,140449,0.0,0.6015575416825333,100348,1574767,1066993,1.0360489513100224,0.5018479940864189,301805,1321361,1157797,5.341912505879981,0,14990,9,82.0
18,Prince Georges County,Maryland,130814,2264929,145542,36774,0.2129206354059963,0.4334016236794227,24220,1210795,581671,0.5000458666503586,0.3051355359518094,523795,908592,0,0.0,856585,0,0,85.8
19,Duval County,Florida,129479,1231819,148120,41233,0.2802925570942006,0.39020227218313397,20072,618022,311231,0.6116281404706555,0.09763745472238741,214956,465677,395992,3.0384618355100055,0,0,0,88.9
20,San Diego Unified,California,128040,1829726,167351,40613,0.19371290221805687,0.438815995001562,45749,613546,371891,0.48120118712902216,0.0,180042,1048829,899775,7.027296157450797,0,69046,6641,86.4
21,Cypress-Fairbanks,Texas,114868,1196041,89206,18384,0.14837900894940279,0.31150538008844936,17996,378394,331983,0.0,0.0,46411,728441,667475,5.810800222864505,0,0,793,80.2
22,Cobb County,Georgia,113151,1313927,88228,23853,0.1899055244761425,0.2768866382091188,11557,531330,225017,0.8253219149631907,0.045894424264920325,207734,694369,575804,3.7924720064338806,0,32068,0,91.2
23,Baltimore County,Maryland,112139,1840240,105625,28301,0.230009185029294,0.27979561080444804,20155,767249,383989,0.47895914891340213,0.2719927946566315,299049,967366,0,0.0,950077,0,0,90.6
24,Shelby County,Tennessee,111403,1272594,234529,77236,0.25729109629004604,0.7088767806971087,49659,501891,484006,0.0,0.0,17885,536174,0,0.0,459389,0,1149,87.1
25,Northside,Texas,106145,1143346,112764,20958,0.18725328559988694,0.28903857930189836,41250,344252,299888,0.0,0.0,44364,686330,638591,6.016213669979745,0,0,79,82.4
26,Pinellas County,Florida,102905,1055688,113961,27477,0.2739517030270638,0.38835819445119285,18329,359483,144891,0.39349885817015695,0.050036441377969976,168950,582244,529240,5.142995967154171,0,0,679,88.7
27,Polk County,Florida,102295,1009869,128181,32278,0.18760447724717727,0.46330710200889585,29318,547005,274311,0.6109291754240188,0.16593186372745491,193225,334683,248392,2.0073708392394547,0,0,0,84.0
28,DeKalb County,Georgia,101284,1244172,100607,30552,0.17588167923857667,0.4392204099364164,7755,496839,236645,0.7412819398917895,0.04565380514197701,180490,646726,572005,4.417212985269145,0,23599,0,88.6
29,Jefferson County,Kentucky,99813,1349412,158335,41885,0.2237684469958823,0.5540160099385851,38817,523343,260407,0.0,0.0003606744612425235,262900,667734,638902,4.83417991644375,0,1922,179,89.3
30,Fulton County,Georgia,96122,1294478,79910,30351,0.17149039761969165,0.2713946859199767,6988,397464,247208,0.4506980712011818,0.050623166392709265,102068,817104,704434,5.5954204032375525,0,34885,0,90.9
31,Lee County,Florida,92686,959274,117407,28822,0.1953693114386207,0.448179876140949,28937,282189,104307,0.2890512051442505,0.07857713138985392,143808,559678,503664,5.434089290723518,0,0,27,87.0
32,Denver,Colorado,91138,1351162,119226,31710,0.18091246241962738,0.401084070310957,34474,354505,298965,0.1862340626302969,0.06508810814369417,32635,877431,717451,7.8721389541135425,0,2847,193,86.4
33,Albuquerque,New Mexico,90651,1056875,125521,36776,0.3009233213091968,0.0003199082194349759,61437,715843,656699,0.0001875324044963652,0.20124433266042294,40884,215511,160565,1.771243560468169,0,1691,0,88.1
34,Prince William County,Virginia,89345,1202380,68000,13980,0.1635458055850915,0.27961273714253737,14426,494354,353422,0.49594269405115005,0.0,96622,640026,0,0.0,556002,0,45510,89.0
36,Jefferson County,Colorado,86371,925038,45946,10958,0.16621319655903022,0.15622141691076866,7139,389329,355448,0.16859825635919465,0.05658149147283232,14432,489763,408766,4.732676477058272,0,1430,1661,94.2
37,Nashville-Davidson County,Tennessee,85163,1044718,120235,31889,0.2503786855794183,0.5868041285534797,17049,293150,279032,0.0,0.0,14118,631333,0,0.0,605160,0,288,87.5
38,Austin,Texas,83067,1412220,111614,25200,0.1720298072640158,0.3429039209312964,43640,86863,47584,0.0,0.0,39279,1213743,1166292,14.040377045035935,0,0,0,82.4
39,Baltimore,Maryland,82354,1415593,162251,58673,0.26808655317288776,0.6200305996065765,30438,959194,395307,0.7747650387352163,0.23572625494815067,480669,294148,0,0.0,274581,0,0,90.6
40,Anne Arundel County,Maryland,81379,1276972,58216,12758,0.2199093132134826,0.20682239889897885,10731,469274,220957,0.33847798572113197,0.28631465119994104,197472,749482,0,0.0,732821,0,0,91.9
41,Alpine,Utah,78957,622816,34283,8173,0.12889294172777588,0.12378889775447395,6159,370427,214437,0.4279417911014856,0.1158352014387578,113055,218106,171958,2.177868966652735,0,0,243,93.3
42,Loudoun County,Virginia,78348,1163229,23931,2180,0.12329606371572982,0.10672895287690816,3729,324345,249207,0.2645504671465768,0.0,54411,814953,0,0.0,756295,0,5245,93.5
43,Greenville County,South Carolina,76918,903136,75126,26081,0.224316804909124,0.31961309446423464,7207,464852,116413,0.28955511063730205,0.0629241529940976,321327,363158,270401,3.5154450193712785,0,30198,95,86.9
44,Long Beach Unified,California,76428,1090404,110084,29158,0.19937719160517087,0.39231695190244414,35704,718731,552222,0.5185534097451195,0.0,126877,261589,175517,2.2965012822525774,0,20873,514,77.7
45,Milwaukee,Wisconsin,76206,1250003,186666,76862,0.30382122142613444,0.6293730152481432,38689,721169,549889,0.635081227199958,0.030470041728997716,120561,342168,226045,2.9662362543631735,0,7691,10475,86.9
46,Katy,Texas,75428,857988,43840,5597,0.12247441268494458,0.17078538473776317,16123,239773,199782,0.0,0.0,39991,574375,533683,7.075396404518216,0,61,0,80.2
47,Fort Bend,Texas,74146,758700,48041,9449,0.14588784290453968,0.17510047743640925,14792,227886,195988,0.0,0.0,31898,482773,459880,6.202357510856958,0,0,54,88.9
48,Brevard County,Florida,73444,739221,73741,18013,0.2517292086487664,0.2870214040629595,16160,338671,152538,0.698954305321061,0.08474483960568596,128575,326809,284062,3.2623086977833453,0,0,20,91.2
49,Fresno Unified,California,73356,1031020,125265,43997,0.2123616336768635,0.7010605812748787,14263,777194,620761,0.512691531708381,0.0,118824,128561,100592,1.371285239107912,0,6179,2202,73.8
50,Guilford County,North Carolina,73059,733610,102342,26721,0.24885366621497693,0.4722895194295022,22935,410464,403146,0.0,0.04178814382896016,4265,220804,0,0.0,199556,0,0,88.4
51,Davis County,Utah,72987,604854,46163,7574,0.15097209092030087,0.17282529765574692,14956,344039,196057,0.4638771288037596,0.09449628015948046,107228,214652,168375,2.3069176702700482,0,0,0,95.5
52,Pasco County,Florida,72493,712320,73877,16677,0.21152387127032954,0.3498130854013491,16507,391263,194442,0.8794228408260107,0.16110521015822218,121390,247180,191648,2.271998675734209,0,0,38,88.3
53,Aldine,Texas,69768,724918,103607,25962,0.2023563811489508,0.5895826166724,22393,358611,325245,0.0,0.0,33366,262700,242860,3.4809654856094485,0,0,0,80.2
54,Granite,Utah,69580,566956,66276,18749,0.14981316470250072,0.3536792181661397,12494,306269,178190,0.470523138832998,0.06987640126473124,90478,194411,162134,2.3301810865191146,0,0,193,89.8
55,Virginia Beach,Virginia,69085,813182,61558,12767,0.2036476803937179,0.23154085546790187,18726,347818,256837,0.4293406672939133,0.0,61320,403806,0,0.0,364905,0,20076,93.2
56,Seminole County,Florida,67808,653710,54731,12225,0.20527076451156206,0.2966464134025484,8472,308680,146978,0.5110606418121756,0.10560700802265219,119887,290299,246576,3.3673312883435584,0,0,0,93.4
58,Douglas County,Colorado,67470,694392,18757,2117,0.12592263228101377,0.060634356010078556,4053,321071,296915,0.17180969319697642,0.06671113087298058,8063,354564,258474,3.8309470875944864,0,1727,1644,97.9
59,Washoe County,Nevada,66671,686170,64866,14900,0.17478363906346087,0.24535405198662086,21955,448206,147212,0.4025588336758111,0.0,274155,173098,154469,2.313989590676606,0,682,202,87.0
60,Mesa Unified,Arizona,63444,559251,67395,20394,0.1818138831095139,0.3817697497005233,11245,257598,253334,0.0,0.0,4264,234258,179607,2.830953281634197,0,22749,4644,86.9
61,Elk Grove Unified,California,63061,766267,56541,15497,0.1750051537400295,0.29885349106420767,11162,558352,417740,0.5330870109893595,0.0,106995,151374,123207,1.953774916350835,0,413,249,86.8
62,Osceola County,Florida,63031,639104,74783,18175,0.18341768336215514,0.4918690802938237,14044,322946,156360,0.5130332693436563,0.12731830369183417,126224,241375,173998,2.3610921610001427,0,0,538,85.7
63,Volusia County,Florida,63028,627975,62497,18412,0.22226629434537032,0.3321063654248905,9144,272148,119605,0.6843625055530875,0.09570349685853906,103377,293330,256743,3.424065494700768,0,0,368,89.3
64,Arlington,Texas,62181,669711,68888,18083,0.16130329200238014,0.4045126324761583,15622,263781,235834,0.0,0.0,27947,337042,316850,5.095607983145977,0,0,0,85.2
65,Knox County,Tennessee,60372,553093,58400,16797,0.22147684356986683,0.3607798317100643,6451,201836,197264,0.0,0.0,4572,292857,0,0.0,250763,0,124,90.6
66,San Francisco Unified,California,60133,998850,54509,12182,0.0,0.29863801905775533,24369,191897,103516,0.0,0.0,88381,752444,610177,8.771257046879418,0,8103,0,87.0
67,Chesterfield County,Virginia,60060,658483,36748,6629,0.19234099234099233,0.18471528471528473,7473,317657,239382,0.30336330336330336,0.0,60055,304078,0,0.0,278742,0,3367,91.4
68,Conroe,Texas,59764,605957,35759,7218,0.16024697142092229,0.18670102402784286,7806,138211,111641,0.0,0.0,26570,431987,411533,6.885968141356,0,0,10,86.8
69,El Paso,Texas,59424,614241,93380,27254,0.18776925148088314,0.4527127086698977,28066,316616,285438,0.0,0.0,31178,204245,193225,3.251632337102854,0,0,151,76.5
70,Garland,Texas,57133,630006,57936,13317,0.17214219452855617,0.37710255018990774,13239,327808,280611,0.0,0.0,47197,244262,223746,3.916230549769835,0,1002,0,78.0
71,Mobile County,Alabama,56628,558061,77276,23951,0.2844176025994208,0.5448188175460903,6367,318206,265774,0.003514162605071696,0.5059158013703469,23584,162579,122737,2.164335664335664,0,13843,1,85.8
72,Pasadena,Texas,56282,600536,67567,16432,0.16451085604633808,0.47375715148715397,15212,343607,300060,0.0,0.0,43547,189362,166827,2.964127074375466,0,71,0,80.2
73,Frisco,Texas,55923,611317,13372,684,0.09586395579636285,0.07660533233195645,3043,135095,113399,0.0,0.0,21696,462850,419713,7.505194642633621,0,349,0,93.6
74,Howard County,Maryland,55626,985502,29160,6246,0.18210908567935857,0.1279797217128681,5665,328277,162353,0.24995505698773954,0.29957214252328046,135356,628065,0,0.0,615277,0,0,95.3
75,Winston-Salem/Forsyth,North Carolina,55228,501655,61608,20630,0.2390635185051061,0.3599804447019628,7894,299720,297226,0.0,0.0,2494,140327,0,0.0,119992,0,0,87.9
76,Cherry Creek,Colorado,54852,655992,27805,5190,0.1683256763654926,0.15098811346897104,5100,279040,255221,0.2083789105228615,0.08189309414424269,7897,349147,299217,5.454987967621965,0,612,612,92.3
77,Santa Ana Unified,California,54505,806802,88330,19290,0.22377763507935053,0.7022291532886891,18568,519178,383882,0.5163562975873773,0.0,107152,199294,153830,2.8223098798275386,0,21296,1360,84.3
78,Clayton County,Georgia,54345,546857,71762,21509,0.16974882693900084,0.6509338485601252,5653,292155,208533,0.6161192382003864,0.042653417977734844,47821,182940,159382,1.9100745238752415,0,7068,0,82.3
78,Clayton County,Georgia,54345,546857,71762,21509,0.16974882693900084,0.6509338485601252,5653,292155,208533,0.6161192382003864,0.042653417977734844,47821,182940,159382,1.9100745238752415,0,7068,0,83.6
