ELSI Export,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
This is a County based table with the following filters applied: State(s) (All Years): All 50 + DC; Name (All Years): Alameda County Anne Arundel County Arapahoe County Austin County Baltimore County Bernalillo County Bexar County Brevard County Broward County Charleston County Chesterfield County Clark County Clayton County Cobb County Collin County Cook County Cumberland County Dallas County Davidson County Davis County DeKalb County Denton County Denver County Douglas County Duval County El Paso County Fairfax County Forsyth County Fort Bend County Franklin County Fresno County Fulton County Greenville County Guilford County Gwinnett County Harris County Hawaii County Henrico County Hillsborough County Houston County Howard County Jefferson County Jefferson Parish King County Knox County Lee County Los Angeles County Loudoun County Manatee County Maricopa County Mecklenburg County Miami-Dade County Milwaukee County Mobile County Montgomery County New York County Orange County Osceola County Palm Beach County Pasco County Philadelphia County Pinellas County Polk County Prince George's County Prince William County Riverside County Sacramento County Salt Lake County San Bernardino County San Diego County San Francisco County Sedgwick County Seminole County Shelby County Suffolk County Tarrant County Utah County Virginia Beach city Volusia County Wake County Washoe County,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
County Name,County Name [Public School] 2017-18,American Indian/Alaska Native - male [Public School] 2017-18,American Indian/Alaska Native - female [Public School] 2017-18,Asian or Asian/Pacific Islander - male [Public School] 2017-18,Asian or Asian/Pacific Islander - female [Public School] 2017-18,Hispanic - male [Public School] 2017-18,Hispanic - female [Public School] 2017-18,Black - male [Public School] 2017-18,Black - female [Public School] 2017-18,White - male [Public School] 2017-18,White - female [Public School] 2017-18,Hawaiian Nat./Pacific Isl. - male [Public School] 2017-18,Hawaiian Nat./Pacific Isl. - female [Public School] 2017-18,Two or More Races - male [Public School] 2017-18,Two or More Races - female [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18
Los Angeles County CA  ,Los Angeles County,†,†,76110,71316,495050,470285,55989,53852,107497,99349,†,†,22177,22031,23.49
Loudoun County VA  ,Loudoun County,211,204,8727,8376,7115,6720,2790,2639,20263,19134,46,42,2175,2164,14.76
Manatee County FL  ,Manatee County,30,34,490,494,8439,8050,3473,3273,11430,11326,29,22,944,913,14.93
Maricopa County AZ  ,Maricopa County,7425,7395,13422,13325,165208,158740,25012,23306,147006,139931,1519,1325,12019,11823,23.33
Mecklenburg County NC  ,Mecklenburg County,309,330,5484,5228,18785,18092,31572,30649,24482,23584,105,118,2265,2181,16.6
Miami-Dade County FL  ,Miami-Dade County,96,77,1945,1995,128648,122924,37020,35650,12659,11668,56,65,1010,1027,18.35
Milwaukee County WI  ,Milwaukee County,†,†,4356,4128,15853,14707,24756,23491,21700,20434,†,†,2424,2350,18.17
Mobile County AL  ,Mobile County,346,345,670,635,1178,1125,14822,14369,13400,12627,26,27,818,845,18.34
Montgomery County MD  ,Montgomery County,†,†,12010,11243,26002,23702,17752,16863,23496,22273,†,†,3993,3849,15.01
Montgomery County TX  ,Montgomery County,283,252,1728,1608,20955,20371,3304,3117,29058,27288,93,76,1508,1453,16.24
Nevada County CA  ,Nevada County,†,†,79,†,1439,1188,†,†,5152,4684,†,†,338,307,20.51
New York County NY  ,New York County,555,546,9989,10005,39370,40020,19649,20733,14320,14503,302,325,2244,2520,13.32
Orange County CA  ,Orange County,†,†,45872,43243,122281,116725,3375,3047,65649,60702,†,†,11098,10727,25.66
Orange County FL  ,Orange County,243,247,4884,4732,44261,41772,27159,25525,29299,28107,341,344,2324,2347,14.86
Osceola County FL  ,Osceola County,110,81,727,699,20395,19284,3691,3314,7738,7290,91,69,782,752,16.31
Palm Beach County FL  ,Palm Beach County,866,817,3040,2972,33853,32216,27913,26716,31059,29310,122,112,2853,2758,15.19
Pasco County FL  ,Pasco County,116,106,1002,1022,8401,8063,2789,2574,23545,22156,73,61,1742,1659,14.58
Philadelphia County PA  ,Philadelphia County,184,180,6603,6355,19441,18956,51594,50127,14039,13505,69,60,6039,5020,17.41
Pinellas County FL  ,Pinellas County,98,93,2245,2129,8799,8497,9765,9399,28900,27013,142,130,2311,2221,15.26
Polk County FL  ,Polk County,185,195,876,776,18217,17548,11011,10457,21286,20347,89,67,1495,1477,15.98
Prince George's County MD  ,Prince George's County,†,†,1960,1759,22734,21126,38871,38005,2886,2608,†,†,867,†,14.61
Prince William County VA  ,Prince William County,116,92,3882,3782,15954,14794,9344,9009,14250,13221,89,92,2675,2619,16.26
Riverside County CA  ,Riverside County,†,†,11159,10415,139302,133403,13362,12485,46074,43162,†,†,7782,7552,24.44
Sacramento County CA  ,Sacramento County,†,†,22074,20254,38711,37384,14479,14186,39301,37483,1833,1660,9289,8881,23.4
Salt Lake County UT  ,Salt Lake County,863,807,3660,3573,27654,26473,2951,2678,70174,66828,3227,2994,3350,3304,†
San Bernardino County CA  ,San Bernardino County,†,†,10362,9542,131908,125504,16814,15978,33054,30948,†,†,8674,8327,24.16
San Diego County CA  ,San Diego County,†,†,25846,24440,124364,119158,11823,10994,78837,72741,†,†,15496,15047,23.79
San Francisco County CA  ,San Francisco County,†,†,10935,10240,10085,8618,2694,2412,4422,4136,†,†,3016,2781,21.26
Sedgwick County KS  ,Sedgwick County,368,420,1664,1530,10704,10477,5192,5025,22550,21161,†,†,2780,2764,16.05
Seminole County FL  ,Seminole County,46,59,1679,1739,9068,8642,5164,4871,17379,16630,98,101,1195,1244,15.81
Shelby County TN  ,Shelby County,†,†,†,†,9285,8703,49433,48419,†,†,†,†,1981,1965,16.71
Suffolk County MA  ,Suffolk County,99,118,2839,2583,19067,18249,12551,11784,6763,6361,54,49,1063,1054,12.8
Tarrant County TX  ,Tarrant County,701,680,10435,9788,79675,76563,38959,36870,59794,56543,615,593,6200,6138,15.36
Utah County UT  ,Utah County,282,278,662,767,10369,9818,570,514,60608,57016,982,753,2419,2180,†
Virginia Beach city VA  ,Virginia Beach city,67,91,2177,1987,4074,3745,8458,7942,17487,16160,166,182,3252,3198,16.72
Volusia County FL  ,Volusia County,75,81,617,624,6433,5978,5148,4953,18865,17434,56,62,1330,1307,15.55
Wake County NC  ,Wake County,248,225,7864,7602,15350,14698,20016,19366,42352,39917,119,120,3286,3332,16.05
Washoe County NV  ,Washoe County,476,448,1586,1499,14403,13654,1000,961,16568,15277,431,†,2234,2112,20.69
Totals:,n/a,†,†,588413,557471,3359168,3204814,1484520,1424597,2385750,2145082,†,†,293241,284597,n/a
,,,,,,,,,,,,,,,,
"Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) ""Public Elementary/Secondary School Universe Survey"" 2017-18 v.1a.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
† indicates that the data are not applicable.,,,,,,,,,,,,,,,,
– indicates that the data are missing.,,,,,,,,,,,,,,,,
‡ indicates that the data do not meet NCES data quality standards.,,,,,,,,,,,,,,,,
